Price,Location,Bedroom,Bathroom,Carport,Land Area,Building Area
Rp 4 Miliar,"Summarecon Bekasi, Bekasi",4,3,2,LT:  130 m²,LB:  177 m²
"Rp 1,45 Miliar","Summarecon Bekasi, Bekasi",3,2,1,LT:  66 m²,LB:  69 m²
"Rp 1,7 Miliar","Summarecon Bekasi, Bekasi",2,2,2,LT:  91 m²,LB:  65 m²
"Rp 3,75 Miliar","Summarecon Bekasi, Bekasi",3,3,2,LT:  180 m²,LB:  200 m²
"Rp 1,4 Miliar","Jatibening, Bekasi",4,4,2,LT:  105 m²,LB:  140 m²
"Rp 1,45 Miliar","Harapan Indah, Bekasi",3,2,1,LT:  82 m²,LB:  126 m²
"Rp 2,3 Miliar","Harapan Indah, Bekasi",3,3,1,LT:  84 m²,LB:  87 m²
"Rp 1,4 Miliar","Harapan Indah, Bekasi",3,3,1,LT:  90 m²,LB:  120 m²
Rp 890 Juta,"Jatibening, Bekasi",2,1,1,LT:  89 m²,LB:  60 m²
Rp 1 Miliar,"Harapan Indah, Bekasi",3,2,1,LT:  75 m²,LB:  100 m²
"Rp 2,95 Miliar","Galaxy, Bekasi",4,2,1,LT:  180 m²,LB:  110 m²
Rp 999 Juta,"Harapan Indah, Bekasi",3,2,,LT:  108 m²,LB:  70 m²
"Rp 1,2 Miliar","Harapan Indah, Bekasi",3,2,1,LT:  75 m²,LB:  57 m²
"Rp 2,3 Miliar","Summarecon Bekasi, Bekasi",3,3,1,LT:  84 m²,LB:  87 m²
"Rp 1,1 Miliar","Tambun Selatan, Bekasi",3,3,1,LT:  64 m²,LB:  72 m²
Rp 865 Juta,"Tambun Selatan, Bekasi",2,1,1,LT:  72 m²,LB:  38 m²
"Rp 1,1 Miliar","Bekasi Timur, Bekasi",3,3,1,LT:  64 m²,LB:  72 m²
"Rp 1,49 Miliar","Cikarang, Bekasi",2,2,1,LT:  78 m²,LB:  82 m²
"Rp 1,88 Miliar","Harapan Indah, Bekasi",3,2,2,LT:  77 m²,LB:  77 m²
"Rp 3,7 Miliar","Grand Wisata, Bekasi",6,5,1,LT:  175 m²,LB:  160 m²
"Rp 1,45 Miliar","Summarecon Bekasi, Bekasi",3,2,1,LT:  66 m²,LB:  65 m²
"Rp 1,1 Miliar","Jati Asih, Bekasi",4,2,2,LT:  118 m²,LB:  105 m²
"Rp 1,75 Miliar","Harapan Indah, Bekasi",3,3,1,LT:  127 m²,LB:  127 m²
"Rp 1,59 Miliar","Harapan Indah, Bekasi",4,3,1,LT:  90 m²,LB:  120 m²
"Rp 2,75 Miliar","Harapan Indah, Bekasi",4,3,2,LT:  265 m²,LB:  250 m²
"Rp 1,1 Miliar","Bekasi Kota, Bekasi",3,3,1,LT:  64 m²,LB:  72 m²
"Rp 2,09 Miliar","Harapan Indah, Bekasi",3,3,1,LT:  91 m²,LB:  95 m²
Rp 1 Miliar,"Harapan Indah, Bekasi",3,2,1,LT:  67 m²,LB:  100 m²
Rp 450 Juta,"Harapan Indah, Bekasi",1,1,,LT:  77 m²,LB:  50 m²
Rp 420 Juta,"Harapan Indah, Bekasi",2,1,,LT:  66 m²,LB:  34 m²
Rp 675 Juta,"Harapan Indah, Bekasi",2,1,,LT:  77 m²,LB:  50 m²
Rp 800 Juta,"Bekasi Timur, Bekasi",2,1,1,LT:  60 m²,LB:  31 m²
"Rp 1,1 Miliar","Cikarang, Bekasi",3,3,1,LT:  64 m²,LB:  72 m²
"Rp 1,5 Miliar","Jatibening, Bekasi",3,3,1,LT:  150 m²,LB:  150 m²
Rp 375 Juta,"Harapan Indah, Bekasi",2,1,,LT:  60 m²,LB:  40 m²
Rp 2 Miliar,"Harapan Indah, Bekasi",3,3,2,LT:  160 m²,LB:  216 m²
"Rp 2,35 Miliar","Summarecon Bekasi, Bekasi",4,3,1,LT:  137 m²,LB:  137 m²
"Rp 1,1 Miliar","Harapan Indah, Bekasi",2,1,1,LT:  48 m²,LB:  48 m²
"Rp 2,2 Miliar","Harapan Indah, Bekasi",2,2,1,LT:  138 m²,LB:  63 m²
"Rp 1,17 Miliar","Harapan Indah, Bekasi",3,2,,LT:  106 m²,LB:  78 m²
Rp 520 Juta,"Harapan Indah, Bekasi",3,1,,LT:  60 m²,LB:  45 m²
Rp 440 Juta,"Harapan Indah, Bekasi",3,1,,LT:  60 m²,LB:  50 m²
Rp 890 Juta,"Jatibening, Bekasi",2,2,,LT:  105 m²,LB:  55 m²
Rp 650 Juta,"Bekasi Utara, Bekasi",2,1,,LT:  66 m²,LB:  50 m²
"Rp 1,66 Miliar","Tarumajaya, Bekasi",4,3,,LT:  90 m²,LB:  120 m²
Rp 390 Juta,"Harapan Indah, Bekasi",2,1,,LT:  60 m²,LB:  40 m²
"Rp 1,33 Miliar","Bekasi Utara, Bekasi",3,2,,LT:  84 m²,LB:  126 m²
Rp 700 Juta,"Bekasi Utara, Bekasi",3,2,,LT:  57 m²,LB:  70 m²
Rp 670 Juta,"Bekasi Utara, Bekasi",3,2,,LT:  60 m²,LB:  73 m²
"Rp 1,13 Miliar","Harapan Indah, Bekasi",3,2,,LT:  97 m²,LB:  93 m²
"Rp 1,22 Miliar","Harapan Indah, Bekasi",3,2,,LT:  115 m²,LB:  90 m²
Rp 550 Juta,"Harapan Indah, Bekasi",2,1,,LT:  60 m²,LB:  45 m²
Rp 560 Juta,"Jati Asih, Bekasi",4,2,,LT:  104 m²,LB:  150 m²
Rp 630 Juta,"Harapan Indah, Bekasi",3,1,,LT:  72 m²,LB:  50 m²
Rp 970 Juta,"Jati Asih, Bekasi",3,2,,LT:  140 m²,LB:  105 m²
Rp 610 Juta,"Jati Asih, Bekasi",2,1,,LT:  78 m²,LB:  78 m²
Rp 670 Juta,"Tarumajaya, Bekasi",3,1,,LT:  120 m²,LB:  90 m²
Rp 530 Juta,"Bekasi Timur, Bekasi",2,1,,LT:  72 m²,LB:  40 m²
Rp 420 Juta,"Harapan Indah, Bekasi",2,1,,LT:  60 m²,LB:  50 m²
"Rp 1,11 Miliar","Tarumajaya, Bekasi",3,2,,LT:  105 m²,LB:  105 m²
Rp 630 Juta,"Harapan Indah, Bekasi",3,2,,LT:  60 m²,LB:  80 m²
Rp 670 Juta,"Harapan Indah, Bekasi",2,1,,LT:  60 m²,LB:  50 m²
Rp 860 Juta,"Harapan Indah, Bekasi",3,2,,LT:  90 m²,LB:  70 m²
Rp 620 Juta,"Tarumajaya, Bekasi",3,1,,LT:  90 m²,LB:  72 m²
"Rp 1,13 Miliar","Summarecon Bekasi, Bekasi",3,2,,LT:  97 m²,LB:  93 m²
Rp 550 Juta,"Summarecon Bekasi, Bekasi",2,1,,LT:  60 m²,LB:  45 m²
"Rp 2,21 Miliar","Summarecon Bekasi, Bekasi",5,3,,LT:  105 m²,LB:  200 m²
Rp 420 Juta,"Summarecon Bekasi, Bekasi",2,1,,LT:  60 m²,LB:  50 m²
Rp 700 Juta,"Summarecon Bekasi, Bekasi",3,1,,LT:  60 m²,LB:  45 m²
